epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1490.81,0.88365,0.52169,0.9894,0.8288,0.77637,0.84417,0.5444,1.34098,0.83563,1.33003,0.000700378,0.000700378,0.000700378
43,1524.57,0.88311,0.52259,0.98536,0.85427,0.71607,0.83512,0.53416,1.33891,0.92592,1.35421,0.000676802,0.000676802,0.000676802
44,1559.74,0.86527,0.51944,0.97723,0.81062,0.7891,0.85214,0.53864,1.34688,0.89126,1.34797,0.000653226,0.000653226,0.000653226
45,1595.6,0.84689,0.50396,0.96892,0.76755,0.8135,0.82687,0.5279,1.35207,0.90517,1.37038,0.00062965,0.00062965,0.00062965
46,1630.58,0.84857,0.49728,0.97029,0.8389,0.7915,0.83336,0.53144,1.33863,0.83054,1.34312,0.000606074,0.000606074,0.000606074
47,1665.82,0.8327,0.49342,0.97175,0.78311,0.81844,0.8561,0.54487,1.34749,0.85929,1.34561,0.000582497,0.000582497,0.000582497
48,1701.3,0.8434,0.50516,0.97788,0.77065,0.82873,0.85052,0.55474,1.32614,0.86286,1.32512,0.000558921,0.000558921,0.000558921
49,1736.92,0.81517,0.48779,0.9583,0.80319,0.80974,0.8462,0.53257,1.36021,0.84665,1.36613,0.000535345,0.000535345,0.000535345
50,1771.85,0.8162,0.49384,0.96402,0.79774,0.79944,0.83433,0.52809,1.35283,0.86515,1.34279,0.000511769,0.000511769,0.000511769
51,1806.45,0.79488,0.47521,0.95639,0.8288,0.76991,0.83223,0.53984,1.33627,0.90239,1.32622,0.000488193,0.000488193,0.000488193
52,1840.89,0.81202,0.47415,0.95567,0.82791,0.79647,0.84415,0.54429,1.35012,0.87893,1.35083,0.000464617,0.000464617,0.000464617
53,1875.38,0.77061,0.45187,0.93974,0.82991,0.81986,0.86158,0.55259,1.34721,0.79409,1.35866,0.000441041,0.000441041,0.000441041
54,1910.52,0.77523,0.4709,0.95168,0.8471,0.74727,0.83188,0.54569,1.33663,0.94731,1.34011,0.000417464,0.000417464,0.000417464
55,1945.94,0.75648,0.44773,0.94145,0.79967,0.84013,0.85366,0.55409,1.35865,0.88438,1.36901,0.000393888,0.000393888,0.000393888
56,1980.91,0.75082,0.44533,0.94107,0.81327,0.7985,0.85496,0.55802,1.31839,0.85301,1.35035,0.000370312,0.000370312,0.000370312
57,2016.15,0.7413,0.44434,0.9396,0.79572,0.79945,0.8481,0.54139,1.3504,0.90541,1.3647,0.000346736,0.000346736,0.000346736
58,2051.31,0.75572,0.44611,0.94071,0.77588,0.81812,0.85126,0.54841,1.33014,0.85769,1.35044,0.00032316,0.00032316,0.00032316
59,2086.05,0.7364,0.44574,0.93356,0.7911,0.82877,0.8567,0.55994,1.34248,0.88714,1.36416,0.000299584,0.000299584,0.000299584
60,2120.86,0.73948,0.44021,0.9356,0.80401,0.82293,0.86723,0.55327,1.35059,0.80406,1.38692,0.000276008,0.000276008,0.000276008
61,2157.87,0.67036,0.36061,0.91389,0.79289,0.83019,0.85323,0.54457,1.35288,0.85668,1.38185,0.000252431,0.000252431,0.000252431
62,2192.16,0.66175,0.35545,0.91298,0.81319,0.81939,0.85727,0.55146,1.34595,0.84789,1.37878,0.000228855,0.000228855,0.000228855
63,2224.79,0.629,0.33611,0.90051,0.78417,0.82521,0.85546,0.55392,1.3305,0.85309,1.36787,0.000205279,0.000205279,0.000205279
64,2256.16,0.62376,0.33639,0.89688,0.82341,0.79141,0.86003,0.55596,1.33798,0.86691,1.38157,0.000181703,0.000181703,0.000181703
65,2289.47,0.61102,0.32951,0.89737,0.81679,0.80579,0.85596,0.54871,1.34806,0.88911,1.38854,0.000158127,0.000158127,0.000158127
66,2322.7,0.60838,0.32932,0.89096,0.83785,0.77511,0.86403,0.55761,1.33626,0.83472,1.38833,0.000134551,0.000134551,0.000134551
67,2356.69,0.60396,0.3276,0.88971,0.819,0.81473,0.86304,0.55845,1.3334,0.84261,1.38251,0.000110975,0.000110975,0.000110975
68,2390.9,0.58927,0.319,0.8865,0.85396,0.7818,0.86038,0.55627,1.34713,0.87869,1.3879,8.73984e-05,8.73984e-05,8.73984e-05
69,2425.2,0.59251,0.31957,0.88783,0.83967,0.78592,0.86091,0.55813,1.33687,0.87429,1.38811,6.38223e-05,6.38223e-05,6.38223e-05
70,2458.33,0.58153,0.31408,0.88256,0.79792,0.833,0.86035,0.56016,1.33771,0.86465,1.3879,4.02461e-05,4.02461e-05,4.02461e-05
